Year,Articles,Term,dbsource
1999,1,Shivalik,Web of Science
1989,1,Shiwalik,Web of Science
1992,1,Shiwalik,Web of Science
2002,1,Shiwalik,Web of Science
2004,1,Shiwalik,Web of Science
2005,1,Shiwalik,Web of Science
1990,1,Sivalik,Web of Science
2008,1,Sivalik,Web of Science
1989,1,Shivalik,Scopus
1990,1,Shivalik,Scopus
2020,1,Shivalik,Scopus
1989,1,Shiwalik,Scopus
1994,1,Shiwalik,Scopus
2002,1,Shiwalik,Scopus
2004,1,Shiwalik,Scopus
2007,1,Shiwalik,Scopus
2016,1,Sivalik,Scopus
1878,1,Siwalik,Scopus
1880,1,Siwalik,Scopus
1883,1,Siwalik,Scopus
1884,1,Siwalik,Scopus
1937,1,Siwalik,Scopus
1938,1,Siwalik,Scopus
1954,1,Siwalik,Scopus
1956,1,Siwalik,Scopus
1959,1,Siwalik,Scopus
1963,1,Siwalik,Scopus
1965,1,Siwalik,Scopus
1968,1,Siwalik,Scopus
1970,1,Siwalik,Scopus
1975,1,Siwalik,Scopus
1955,1,Shivalik,Scopus
1969,1,Shivalik,Scopus
1985,1,Shivalik,Scopus
1988,1,Shivalik,Scopus
1973,1,Shiwalik,Scopus
1974,1,Shiwalik,Scopus
1986,1,Shiwalik,Scopus
1987,1,Shiwalik,Scopus
1880,1,Sivalik,Scopus
1983,1,Sivalik,Scopus
1985,1,Sivalik,Scopus
1993,2,Shivalik,Web of Science
2001,2,Shivalik,Web of Science
2004,2,Shivalik,Web of Science
2007,2,Shivalik,Web of Science
2011,2,Shivalik,Web of Science
1994,2,Shiwalik,Web of Science
1999,2,Shiwalik,Web of Science
2000,2,Shiwalik,Web of Science
2009,2,Shiwalik,Web of Science
2013,2,Shiwalik,Web of Science
2019,2,Shiwalik,Web of Science
2005,2,Shivalik,Scopus
2019,2,Shivalik,Scopus
1990,2,Shiwalik,Scopus
2000,2,Shiwalik,Scopus
2001,2,Shiwalik,Scopus
2005,2,Shiwalik,Scopus
2009,2,Shiwalik,Scopus
1990,2,Sivalik,Scopus
1885,2,Siwalik,Scopus
1951,2,Siwalik,Scopus
1961,2,Siwalik,Scopus
1962,2,Siwalik,Scopus
1966,2,Siwalik,Scopus
1967,2,Siwalik,Scopus
1972,2,Siwalik,Scopus
1974,2,Siwalik,Scopus
1980,2,Sivalik,Scopus
1981,2,Sivalik,Scopus
1984,2,Sivalik,Scopus
2000,3,Shivalik,Web of Science
2003,3,Shivalik,Web of Science
2006,3,Shivalik,Web of Science
2009,3,Shivalik,Web of Science
2010,3,Shivalik,Web of Science
2016,3,Shivalik,Web of Science
2008,3,Shiwalik,Web of Science
2015,3,Shiwalik,Web of Science
2017,3,Shiwalik,Web of Science
1993,3,Shivalik,Scopus
2000,3,Shivalik,Scopus
2004,3,Shivalik,Scopus
1999,3,Shiwalik,Scopus
2013,3,Shiwalik,Scopus
2019,3,Shiwalik,Scopus
1969,3,Siwalik,Scopus
1976,3,Siwalik,Scopus
1978,3,Sivalik,Scopus
1979,3,Sivalik,Scopus
2002,4,Shivalik,Web of Science
2014,4,Shivalik,Web of Science
1999,4,Shivalik,Scopus
2003,4,Shivalik,Scopus
