Country,Articles,Term,dbsource
Canada,7,Siwalik,Scopus
China,13,Siwalik,Scopus
France,74,Siwalik,Scopus
France,1,Shivalik,Scopus
France,1,Sivalik,Scopus
Germany,20,Siwalik,Scopus
Germany,1,Shivalik,Scopus
Germany,1,Shiwalik,Scopus
India,441,Siwalik,Scopus
India,103,Shivalik,Scopus
India,68,Shiwalik,Scopus
India,13,Sivalik,Scopus
Italy,1,Sivalik,Scopus
Japan,29,Siwalik,Scopus
Nepal,1,Shiwalik,Scopus
Nepal,19,Siwalik,Scopus
Pakistan,88,Siwalik,Scopus
Sri Lanka,1,Shivalik,Scopus
Sweden,1,Sivalik,Scopus
Thailand,1,Shiwalik,Scopus
UK,28,Siwalik,Scopus
USA,161,Siwalik,Scopus
USA,1,Shivalik,Scopus
Australia,7,Siwalik,Web of Science
China,30,Siwalik,Web of Science
China,1,Shivalik,Web of Science
France,81,Siwalik,Web of Science
France,1,Shivalik,Web of Science
Germany,13,Siwalik,Web of Science
Germany,1,Shiwalik,Web of Science
India,393,Siwalik,Web of Science
India,68,Shivalik,Web of Science
India,55,Shiwalik,Web of Science
India,1,Sivalik,Web of Science
Japan,22,Siwalik,Web of Science
Nepal,13,Siwalik,Web of Science
Nepal,1,Shiwalik,Web of Science
Pakistan,97,Siwalik,Web of Science
Thailand,1,Shiwalik,Web of Science
Thailand,1,Sivalik,Web of Science
UK,27,Siwalik,Web of Science
USA,132,Siwalik,Web of Science
USA,1,Shivalik,Web of Science
