Filename:  Global_Litterfall.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date last modified data: 20150323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data set name:  A Global Database of Litterfall Mass and Litter Pool Carbon and Nutrients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document link: http://dx.doi.org/10.3334/ORNLDAAC/1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missing value code: -99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SITE_ID,PLOTNAME,LATITUDE,LONGITUDE,ELEVATION,MEANTEMP,BIOTEMP,PRECIP,OLSON,LIFEZONE,MATTHEWS,VEGETATION,MANAGED,AGE,REFERENCE1,REFERENCE2, LFLLW, SWFLLW, FINFLLW, RPRFLLW, LTRFLLW, LWFLLW, LLEAFW, LSWW, LFINW, LRPRW, LLTRW, FLEAFW, FSWW, FFINW, FRPRW, FLTRW, TLEAFW, TSWW, TFINW, TRPRW, TLTRW, LWW, LFLLN, SWFLLN, FINFLLN, RPRFLLN, LTRFLLN, LWFLLN, LLEAFN, LSWN, LFINN, LRPRN, LLTRN, FLEAFN, FSWN, FFINN, FRPRN, FLTRN, TLEAFN, TSWN, TFINN, TRPRN, TLTRN, LWN, LFLLP, SWFLLP, FINFLLP, RPRFLLP, LTRFLLP, LWFLLP, LLEAFP, LSWP, LFINP, LRPRP, LLTRP, FLEAFP, FSWP, FFINP, FRPRP, FLTRP, TLEAFP, TSWP, TFINP, TRPRP, TLTRP, LWP, LFLLCA, SWFLLCA, FINFLLCA, RPRFLLCA, LTRFLLCA, LWFLLCA, LLEAFCA, LSWCA, LFINCA, LRPRCA, LLTRCA, FLEAFCA, FSWCA, FFINCA, FRPRCA, FLTRCA, TLEAFCA, TSWCA, TFINCA, TRPRCA, TLTRCA, LWCA, LFLLMG, SWFLLMG, FINFLLMG, RPRFLLMG, LTRFLLMG, LWFLLMG, LLEAFMG, LSWMG, LFINMG, LRPRMG, LLTRMG, FLEAFMG, FSWMG, FFINMG, FRPRMG, FLTRMG, TLEAFMG, TSWMG, TFINMG, TRPRMG, TLTRMG, LWMG, LFLLK, SWFLLK, FINFLLK, RPRFLLK, LTRFLLK, LWFLLK, LLEAFK, LSWK, LFINK, LRPRK, LLTRK, FLEAFK, FSWK, FFINK, FRPRK, FLTRK, TLEAFK, TSWK, TFINK, TRPRK, TLTRK, LWK, LFLLNA, SWFLLNA, FINFLLNA, RPRFLLNA, LTRFLLNA, LWFLLNA, LLEAFNA, LSWNA, LFINNA, LRPRNA, LLTRNA, FLEAFNA, FSWNA, FFINNA, FRPRNA, FLTRNA, TLEAFNA, TSWNA, TFINNA, TRPRNA, TLTRNA, LWNA, LFLLMN, SWFLLMN, FINFLLMN, RPRFLLMN, LTRFLLMN, LWFLLMN, LLEAFMN, LSWMN, LFINMN, LRPRMN, LLTRMN, FLEAFMN, FSWMN, FFINMN, FRPRMN, FLTRMN, TLEAFMN, TSWMN, TFINMN, TRPRMN, TLTRMN, LWMN
numeric,text,decimal degrees,decimal degrees,m,degrees C,degrees C,mm,numeric,numeric,numeric,text,text,years,text,text,kg m-2 yr-1,kg m-2 yr-1,kg m-2 yr-1,kg m-2 yr-1,kg m-2 yr-1,kg m-2 yr-1,kg m-2 ,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,kg m-2,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1,g m-2 yr-1 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 yr-1 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 ,g m-2 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001, Jack_Pine_Mainland_(Star_Island),47,-95,1000,5,-99,750,0,14,8, Jack_Pine,-99,-99, Alway__F._J._et_al._1933_Soil_Science_36:399-407,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.348,-99,-99,-99,-99,4.357,-99,-99,-99,-99,4.705,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.47,-99,-99,-99,-99,43.8,-99,-99,-99,-99,47.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2.64,-99,-99,-99,-99,28.63,-99,-99,-99,-99,31.27,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10002, Jack_Pine__Star_Island,47,-95,1000,5,-99,750,0,14,8, Jack_Pine,-99,0, Alway__F._J._et_al._1933_Soil_Science_36:399-407,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.602,-99,-99,-99,-99,3.14,-99,-99,-99,-99,3.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6.94,-99,-99,-99,-99,23.9,-99,-99,-99,-99,30.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.56,-99,-99,-99,-99,11.4,-99,-99,-99,-99,15.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10003, Star_Island,47,-95,1000,5,-99,750,0,14,8, Norway_Pine,-99,0, Alway__F._J._et_al._1933_Soil_Science_36:399-407,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.658,-99,-99,-99,-99,3.55,-99,-99,-99,-99,4.21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5.38,-99,-99,-99,-99,28.1,-99,-99,-99,-99,33.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.72,-99,-99,-99,-99,18.3,-99,-99,-99,-99,23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10004, Star_Island,47,-95,1000,5,-99,750,0,14,8, White_Pine,-99,0, Alway__F._J._et_al._1933_Soil_Science_36:399-40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.389,-99,-99,-99,-99,7.38,-99,-99,-99,-99,7.77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.37,-99,-99,-99,-99,79,-99,-99,-99,-99,83.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.08,-99,-99,-99,-99,65.1,-99,-99,-99,-99,69.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10005, Star_Island,47,-95,1000,5,-99,750,0,14,11, Maple_Basswood,-99,0, Alway__F._J._et_al._1933_Soil_Science_36:399-407,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.228,-99,-99,-99,-99,6.47,-99,-99,-99,-99,6.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3.47,-99,-99,-99,-99,104.4,-99,-99,-99,-99,107.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.318,-99,-99,-99,-99,9.2,-99,-99,-99,-99,9.51,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6.32,-99,-99,-99,-99,164.7,-99,-99,-99,-99,171.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
20001, Aspen_Stand__Middle_Sweden,59,18,100,5,-99,750,0,9,11, Aspen,-99,0, Andersson_&_Enander_1948_Svenska_Skog._Tidskrift_46:265-70,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.196,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.016,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30001, Great_East_Tennesee_Basin__Stand_1(Clarksville),36.5,-87.3,200,15,-99,1250,0,21,11, Oxydendrum_arboreum__Quercus_alba_,-99,0, Blow__F._E._1955_Journal_of_Forestry_53:190-195,-99,0.291,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
40001, Grue__Norway_(Larch),60.5,12.1,250,5,-99,750,0,9,6, Larix_decidua,-99,90, Bonnevie-Svendsen__C._&_Gjems_1957_Medd._det_Noiske_Skog._48:111-168,-99,-99,-99,-99,-99,0.211,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.476,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.1724,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.4047,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.2333,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
