"Paper","TC"
"YANG XQ, 2013, ECOL ENG                              ","236"
"SHARMA CM, 2010, FOR ECOL MANAGE                     ","103"
"LAMSAL P, 2018, AMBIO                                "," 51"
"LODHIYAL N, 2003, FOR ECOL MANAGE                    "," 42"
"MISHRA NB, 2015, APPL GEOGR                          "," 36"
"SANYAL P, 2005, PALAEOGEOGR PALAEOCLIMATOL PALAEOECOL"," 35"
"BARGALI SS, 1993, J VEG SCI                          "," 31"
"SINGH A, 1995, VEGETATIO                             "," 27"
"KIMOTHI MM, 2010, INT J REMOTE SENS                  "," 25"
"GUPTA RD, 2010, TROP ECOL                            "," 24"
