Species,Origin,Legume,St_dens,Height,Diameter,H_D,D2H,Bm_Foliage,Bm_Stem,Bm_CorRoot,Bm_FinRoot,Bm_Total,Np_Foliage,Np_Stem,Np_CorRoot,Np_FinRoot,Np_Total
Albizia lebbeck,Native,Legume,2192,3.66,7.4,49.46,20042.16,6.69,32.86,12.23,0.99,52.77,6.69,10.44,3.37,0.99,22.92
Albizia lebbeck,Native,Legume,2160,3.21,7.95,40.38,20288,6.64,32.64,12.14,0.65,52.07,6.64,11.3,3.64,0.65,23.63
Albizia lebbeck,Native,Legume,2208,3.27,7.38,44.31,17809.86,6.44,31.47,11.78,0.9,50.59,6.44,12.04,3.83,0.9,25.03
Albizia procera,Native,Legume,2224,2.84,6.95,40.86,13717.91,6.85,11.83,9.73,0.73,29.14,6.85,6.74,2.39,0.73,17.57
Albizia procera,Native,Legume,2192,2.54,6.82,37.24,11814.15,7.16,13.61,10.74,1.13,32.64,7.16,8.93,3.14,1.13,21.31
Albizia procera,Native,Legume,2208,3.53,8.18,43.15,23620.08,7.77,17.2,11.48,0.36,36.81,7.77,8.55,2.1,0.36,19.01
Tectona grandis,Native,Non-legume,1645,2.45,5.32,46.05,6934.09,2.3,2.91,1.89,0.36,7.46,2.3,1.22,0.58,0.36,4.48
Tectona grandis,Native,Non-legume,1822,2.08,5.21,39.92,5645.97,2.58,3.29,2.19,0.48,8.54,2.58,1.66,0.8,0.48,5.52
Tectona grandis,Native,Non-legume,1867,2.03,5.12,39.65,5321.52,2.28,2.74,1.74,0.28,7.04,2.28,1.21,0.5,0.28,4.27
Dendrocalamus strictus,Native,Non-legume,2000,5.54,4.26,130.05,10053.77,10.03,36.85,5.41,1.49,71.9,10.03,10.75,0.82,1.49,26.36
Dendrocalamus strictus,Native,Non-legume,2000,5.16,5,103.2,12900,11.1,41.46,5.38,1.35,79.48,11.1,14.01,1.3,1.35,33.74
Dendrocalamus strictus,Native,Non-legume,2088,4.85,3.7,131.08,6639.65,10.91,37.19,5.03,1.36,72.67,10.91,16.04,1.24,1.36,36.01
Acacia auriculiformis,Exotic,Legume,1600,5,3.95,126.58,7801.25,6.68,16.77,4.53,3.05,31.03,1.38,11.17,2.64,3.05,18.24
Acacia auriculiformis,Exotic,Legume,1760,5.2,3.78,137.57,7429.97,5.57,17.5,4,3.7,30.77,1.45,11.5,2.5,3,18.45
Acacia auriculiformis,Exotic,Legume,1670,4.8,4.12,116.5,8147.71,7.79,16.04,5.06,2.4,31.29,1.31,10.84,2.78,3.1,18.03
Casuarina equisetifolia,Exotic,Non-legume,1450,5.29,4.9,107.96,12701.29,2.74,15.69,2.98,0.4,21.81,1.07,7.77,1.62,0.4,10.86
Casuarina equisetifolia,Exotic,Non-legume,1600,5.2,4.78,108.79,11881.17,2.59,16,3,0.3,21.89,1.15,8,1.54,0.35,11.04
Casuarina equisetifolia,Exotic,Non-legume,1650,5.38,5.02,107.17,13557.82,2.89,15.38,2.96,0.5,21.73,0.99,7.57,1.7,0.45,10.68
Cassia siamea,Exotic,Legume,1900,2.75,2.99,91.97,2458.53,0.72,4.91,2.56,0.3,8.49,0.32,2.19,0.92,0.35,3.78
Cassia siamea,Exotic,Legume,1778,2.55,3,85,2295,0.85,5.5,2.75,0.35,9.45,0.3,2.5,1,0.3,4.1
Cassia siamea,Exotic,Legume,1790,2.95,2.98,98.99,2619.72,0.59,4.32,2.37,0.25,7.53,0.32,1.88,0.84,0.25,3.29
Grevillea pteridifolia,Exotic,Non-legume,1789,5.88,3.87,151.94,8806.42,5.06,11.46,5.85,0.54,22.91,1.67,6.75,3.31,0.54,12.27
Grevillea pteridifolia,Exotic,Non-legume,2000,5.85,3.95,148.1,9127.46,6.07,12.5,5.97,0.58,25.12,1.58,6,3.5,0.59,11.67
Grevillea pteridifolia,Exotic,Non-legume,1786,5.91,3.79,155.94,8489.18,4.05,10.42,5.71,0.58,20.68,1.76,7.5,3.12,0.49,12.87
