"","Assemblage","SC","Method","Order.q","qD","qD.LCL","qD.UCL"
"1","Disturbed",0.317065390750335,"Rarefaction","A) Species richness",1,0.923817748203537,1.07618225179646
"2","Disturbed",0.911041037808537,"Rarefaction","A) Species richness",13.0709817349905,12.040448428017,14.1015150419641
"3","Disturbed",0.958494817474909,"Rarefaction","A) Species richness",16.5213434698449,14.8961150087521,18.1465719309377
"4","Disturbed",0.970888225903764,"Rarefaction","A) Species richness",18.5169878075429,16.2401283624004,20.7938472526855
"5","Disturbed",0.976613249345841,"Rarefaction","A) Species richness",20.0268610890666,17.1784695690058,22.8752526091274
"6","Disturbed",0.980210100815764,"Rarefaction","A) Species richness",21.2741317270566,17.9685456895567,24.5797177645564
"7","Disturbed",0.982752642719023,"Rarefaction","A) Species richness",22.3456157420182,18.668668872177,26.0225626118594
"8","Disturbed",0.984642202815695,"Rarefaction","A) Species richness",23.289565000877,19.2847314004865,27.2943986012675
"9","Disturbed",0.98609243556311,"Rarefaction","A) Species richness",24.137239205018,19.8046045154499,28.4698738945861
"10","Disturbed",0.987238788414148,"Rarefaction","A) Species richness",24.9099892928904,20.216004056789,29.6039745289919
"11","Disturbed",0.9881724608579,"Rarefaction","A) Species richness",25.6226732922692,20.5086081787006,30.7367384058377
"12","Disturbed",0.988955258684179,"Rarefaction","A) Species richness",26.2857467671478,20.5662437036194,32.0052498306762
"13","Disturbed",0.989628357177201,"Rarefaction","A) Species richness",26.9067032758315,20.400562677553,33.41284387411
"14","Disturbed",0.990218469029105,"Rarefaction","A) Species richness",27.4910867648205,20.0928736765939,34.8892998530471
"15","Disturbed",0.990742496499426,"Rarefaction","A) Species richness",28.0431917325227,19.7122576259605,36.3741258390849
"16","Disturbed",0.991211051573395,"Rarefaction","A) Species richness",28.5665242253483,19.3623702747704,37.7706781759263
"17","Disturbed",0.99163104300307,"Rarefaction","A) Species richness",29.0640919609991,19.0558690599338,39.0723148620643
"18","Disturbed",0.992007461036995,"Rarefaction","A) Species richness",29.5385631903643,18.8032426863251,40.2738836944035
"19","Disturbed",0.992344497607656,"Rarefaction","A) Species richness",29.989821222742,18.6012901342533,41.3783523112307
"20","Disturbed",0.992349993302122,"Observed","A) Species richness",30,18.6009860263405,41.3990139736595
"21","Disturbed",0.992355485051367,"Extrapolation","A) Species richness",30.0076500066979,18.5977953497975,41.4175046635982
"22","Disturbed",0.992625104399803,"Extrapolation","A) Species richness",30.3832297590698,18.4436942605274,42.3227652576122
"23","Disturbed",0.99288521436883,"Extrapolation","A) Species richness",30.7455629459236,18.2879156090172,43.20321028283
"24","Disturbed",0.993136150350907,"Extrapolation","A) Species richness",31.0951167689574,18.1355846627624,44.0546488751524
"25","Disturbed",0.993378235909322,"Extrapolation","A) Species richness",31.4323419518298,17.9991647517259,44.8655191519338
"26","Disturbed",0.993616369137111,"Extrapolation","A) Species richness",31.7640615381396,17.8452300419525,45.6828930343267
"27","Disturbed",0.993841517548158,"Extrapolation","A) Species richness",32.0776932747282,17.694493807427,46.4608927420294
"28","Disturbed",0.994058725054086,"Extrapolation","A) Species richness",32.380263330486,17.546107288826,47.2144193721459
"29","Disturbed",0.994268271727821,"Extrapolation","A) Species richness",32.672161846998,17.4058047391309,47.9385189548652
"30","Disturbed",0.994470427764213,"Extrapolation","A) Species richness",32.9537652056928,17.2661037575012,48.6414266538845
"31","Disturbed",0.99466928336625,"Extrapolation","A) Species richness",33.2307710593304,17.1245085328026,49.3370335858582
"32","Disturbed",0.994857295863465,"Extrapolation","A) Species richness",33.4926724679511,16.9876073305611,49.9977376053411
"33","Disturbed",0.995038677226156,"Extrapolation","A) Species richness",33.7453367061793,16.8538974788767,50.636775933482
"34","Disturbed",0.995213661332101,"Extrapolation","A) Species richness",33.9890895657601,16.7298188429985,51.2483602885216
"35","Disturbed",0.99538247381029,"Extrapolation","A) Species richness",34.224245347878,16.6024885889908,51.8460021067652
"36","Disturbed",0.995548530226812,"Extrapolation","A) Species richness",34.4555619360938,16.4728010989265,52.4383227732611
"37","Disturbed",0.995705531997088,"Extrapolation","A) Species richness",34.6742654020872,16.3475865115439,53.0009442926305
"38","Disturbed",0.99585699637025,"Extrapolation","A) Species richness",34.8852552739026,16.2244083315487,53.5461022162564
"39","Disturbed",0.996003118648345,"Extrapolation","A) Species richness",35.0888036072882,16.1033483289617,54.0742588856148
"40","Disturbed",0.996146855308897,"Extrapolation","A) Species richness",35.2890287754375,15.9821143107632,54.5959432401118
"41","Disturbed",0.317065390750335,"Rarefaction","B) Shannon diversity",1,0.931662906615913,1.06833709338409
"42","Disturbed",0.911041037808537,"Rarefaction","B) Shannon diversity",5.61626583422141,5.03828876970111,6.19424289874172
"43","Disturbed",0.958494817474909,"Rarefaction","B) Shannon diversity",6.11925207963418,5.47066962354891,6.76783453571945
"44","Disturbed",0.970888225903764,"Rarefaction","B) Shannon diversity",6.32136243399118,5.63877127938947,7.00395358859289
"45","Disturbed",0.976613249345841,"Rarefaction","B) Shannon diversity",6.43428291053108,5.73586079669628,7.13270502436587
"46","Disturbed",0.980210100815764,"Rarefaction","B) Shannon diversity",6.50779165670568,5.80128919319526,7.21429412021611
"47","Disturbed",0.982752642719023,"Rarefaction","B) Shannon diversity",6.56001272831359,5.84832901950236,7.27169643712482
"48","Disturbed",0.984642202815695,"Rarefaction","B) Shannon diversity",6.59929402037205,5.88351399664447,7.31507404409963
"49","Disturbed",0.98609243556311,"Rarefaction","B) Shannon diversity",6.63007093785646,5.91073628833781,7.34940558737512
"50","Disturbed",0.987238788414148,"Rarefaction","B) Shannon diversity",6.65493502459689,5.93278308176059,7.37708696743319
"51","Disturbed",0.9881724608579,"Rarefaction","B) Shannon diversity",6.67550744773023,5.95154297076353,7.39947192469694
"52","Disturbed",0.988955258684179,"Rarefaction","B) Shannon diversity",6.69285627910781,5.96784935297024,7.41786320524537
"53","Disturbed",0.989628357177201,"Rarefaction","B) Shannon diversity",6.70771512789925,5.98162800109631,7.4338022547022
