ID,PlotID,Species,Number
1,T1H1,Oplismenus burmannii,28
1,T1H1,Ichnocarpus frutescens,3
1,T1H1,Peperomia pellucida,6
1,T1H1,Sida cordata,1
1,T1H1,Panicum antidotale,2
1,T1H1,Aerva lanata,1
2,T1H2,Sida rhombifolia,5
2,T1H2,Sida cordata,1
2,T1H2,Oplismenus burmannii,21
2,T1H2,Oxalis corniculata,2
2,T1H2,Morus alba,1
3,T1H3,Cissampelos pareira,7
3,T1H3,Oplismenus burmannii,20
4,T2H1,Ageratum houstonianum,40
4,T2H1,Oplismenus burmannii,3
4,T2H1,Sida acuta,1
5,T2H2,Ageratum houstonianum,18
5,T2H2,Oplismenus burmannii,34
5,T2H2,Rivina humilis,1
6,T2H3,Oxalis corniculata,14
6,T2H3,Oplismenus burmannii,17
6,T2H3,Ageratum houstonianum,5
6,T2H3,Peperomia pellucida,1
7,T5H1,Oplismenus burmannii,60
7,T5H1,Peperomia pellucida,1
7,T5H1,Sida cordata,1
7,T5H1,Oxalis corniculata,1
8,T5H2,Parthenium hysterophorus,6
8,T5H2,Sida acuta,4
8,T5H2,Peperomia pellucida,4
8,T5H2,Oxalis corniculata,5
8,T5H2,Oplismenus burmannii,49
9,T5H3,Cassia tora,1
9,T5H3,Parthenium hysterophorus,4
9,T5H3,Peperomia pellucida,6
9,T5H3,Sida acuta,1
9,T5H3,Oplismenus burmannii,53
9,T5H3,Cissampelos pareira,1
10,T6H1,Ageratum conyzoides,2
10,T6H1,Peperomia pellucida,3
10,T6H1,Oxalis corniculata,4
10,T6H1,Parthenium hysterophorus,2
10,T6H1,Sida cordata,1
10,T6H1,Sida acuta,1
10,T6H1,Oplismenus burmannii,48
11,T6H2,Peperomia pellucida,5
11,T6H2,Parthenium hysterophorus,2
11,T6H2,Rivina humilis,2
11,T6H2,Oxalis corniculata,1
11,T6H2,Oplismenus burmannii,32
11,T6H2,Sida acuta,1
11,T6H2,Ichnocarpus frutescens,2
12,T6H3,Dicliptera paniculata,5
12,T6H3,Sida acuta,1
12,T6H3,Commelina benghalensis,1
12,T6H3,Oplismenus burmannii,35
12,T6H3,Calyptocarpus vialis,7
13,T7H1,Oplismenus burmannii,56
13,T7H1,Ichnocarpus frutescens,2
13,T7H1,Dicliptera paniculata,2
14,T7H2,Oplismenus burmannii,7
14,T7H2,Rivina humilis,1
14,T7H2,Prosopis juliflora,1
14,T7H2,Millettia peguensis,2
15,T7H3,Oplismenus burmannii,44
15,T7H3,Prosopis juliflora,1
16,T8H1,Oplismenus burmannii,68
16,T8H1,Prosopis juliflora,1
16,T8H1,Sida acuta,3
16,T8H1,Lantana camara,2
17,T8H2,Oplismenus burmannii,74
17,T8H2,Ichnocarpus frutescens,4
17,T8H2,Sida cordata,2
17,T8H2,Sida acuta,1
18,T8H3,Murraya koenigii,1
18,T8H3,Ichnocarpus frutescens,2
18,T8H3,Oplismenus burmannii,38
19,T9H1,Ageratum houstonianum,6
19,T9H1,Sida acuta,2
19,T9H1,Oplismenus burmannii,78
19,T9H1,Leucaena leucocephala,1
19,T9H1,Panicum antidotale,5
20,T9H2,Oplismenus burmannii,33
20,T9H2,Peperomia pellucida,8
20,T9H2,Sida cordata,13
20,T9H2,Ageratum houstonianum,17
20,T9H2,Oxalis corniculata,2
20,T9H2,Malvastrum coromandelianum,3
21,T9H3,Oplismenus burmannii,43
21,T9H3,Ageratum houstonianum,24
21,T9H3,Sida acuta,2
21,T9H3,Peperomia pellucida,6
21,T9H3,Ichnocarpus frutescens,2
22,T10H1,Sida acuta,2
22,T10H1,Ichnocarpus frutescens,2
22,T10H1,Oplismenus burmannii,47
23,T10H2,Justicia adhatoda,3
23,T10H2,Cassia occidentalis,1
23,T10H2,Ageratum houstonianum,4
23,T10H2,Ichnocarpus frutescens,8
23,T10H2,Oplismenus burmannii,42
23,T10H2,Sida cordata,1
23,T10H2,Parthenium hysterophorus,2
23,T10H2,Peperomia pellucida,6
23,T10H2,Sida acuta,7
23,T10H2,Aerva lanata,1
24,T10H3,Ichnocarpus frutescens,7
24,T10H3,Oxalis corniculata,2
24,T10H3,Oplismenus burmannii,26
25,T11H1,Aerva lanata,4
25,T11H1,Oxalis corniculata,9
25,T11H1,Sida acuta,8
25,T11H1,Lantana camara,3
25,T11H1,Panicum antidotale,12
25,T11H1,Peperomia pellucida,1
25,T11H1,Ichnocarpus frutescens,2
26,T11H2,Sida acuta,23
26,T11H2,Ageratum houstonianum,4
26,T11H2,Peperomia pellucida,4
26,T11H2,Ichnocarpus frutescens,5
26,T11H2,Panicum antidotale,7
26,T11H2,Oplismenus burmannii,3
27,T11H3,Sida acuta,17
27,T11H3,Aerva lanata,1
27,T11H3,Peperomia pellucida,1
27,T11H3,Panicum antidotale,11
28,T12H1,Oplismenus burmannii,47
28,T12H1,Dicliptera paniculata,1
28,T12H1,Oxalis corniculata,4
28,T12H1,Sida acuta,1
29,T12H2,Parthenium hysterophorus,1
29,T12H2,Sida acuta,6
29,T12H2,Panicum antidotale,14
