"Search","Genus","Species","Authors","Family","Order"
"Phyllanthus emblica","Phyllanthus","Phyllanthus emblica","L.","Phyllanthaceae","Malpighiales"
"Prosopis juliflora","Prosopis","Prosopis juliflora","(Sw.) DC.","Fabaceae","Fabales"
"Murraya koenigii","Murraya","Murraya koenigii","(L.) Spreng.","Rutaceae","Sapindales"
"Oplismenus burmannii","Oplismenus","Oplismenus burmanni","(Retz.) P.Beauv.","Poaceae","Poales"
"Ichnocarpus frutescens","Ichnocarpus","Ichnocarpus frutescens","(L.) W.T.Aiton","Apocynaceae","Gentianales"
"Peperomia pellucida","Peperomia","Peperomia pellucida","(L.) Kunth","Piperaceae","Piperales"
"Sida cordata","Sida","Sida cordata","(Burm.f.) Borss.Waalk.","Malvaceae","Malvales"
"Panicum antidotale","Panicum","Panicum antidotale","Retz.","Poaceae","Poales"
"Aerva lanata","Ouret","Ouret lanata","(L.) Kuntze","Amaranthaceae","Caryophyllales"
"Sida rhombifolia","Sida","Sida rhombifolia","L.","Malvaceae","Malvales"
"Oxalis corniculata","Oxalis","Oxalis corniculata","L.","Oxalidaceae","Oxalidales"
"Cissampelos pareira","Cissampelos","Cissampelos pareira","L.","Menispermaceae","Ranunculales"
"Ageratum houstonianum","Ageratum","Ageratum houstonianum","Mill.","Asteraceae","Asterales"
"Sida acuta","Sida","Sida acuta","Burm.f.","Malvaceae","Malvales"
"Rivina humilis","Rivina","Rivina humilis","L.","Petiveriaceae","Caryophyllales"
"Dendrocalamus strictus","Dendrocalamus","Dendrocalamus strictus","(Roxb.) Nees","Poaceae","Poales"
"Justicia adhatoda","Justicia","Justicia adhatoda","L.","Acanthaceae","Lamiales"
"Bougainvillea spectabilis","Bougainvillea","Bougainvillea spectabilis","Willd.","Nyctaginaceae","Caryophyllales"
"Parthenium hysterophorus","Parthenium","Parthenium hysterophorus","L.","Asteraceae","Asterales"
"Cassia tora","Senna","Senna obtusifolia","(L.) H.S.Irwin & Barneby","Fabaceae","Fabales"
"Ageratum conyzoides","Ageratum","Ageratum conyzoides","L.","Asteraceae","Asterales"
"Dicliptera paniculata","Dicliptera","Dicliptera paniculata","(Forssk.) I.Darbysh.","Acanthaceae","Lamiales"
"Commelina benghalensis","Commelina","Commelina benghalensis","L.","Commelinaceae","Commelinales"
"Calyptocarpus vialis","Calyptocarpus","Calyptocarpus vialis","Less.","Asteraceae","Asterales"
"Phoenix dactylifera","Phoenix","Phoenix dactylifera","L.","Arecaceae","Arecales"
"Ziziphus mauritiana","Ziziphus","Ziziphus mauritiana","Lam.","Rhamnaceae","Rosales"
"Butea monosperma","Butea","Butea monosperma","(Lam.) Taub.","Fabaceae","Fabales"
"Leucaena leucocephala","Leucaena","Leucaena leucocephala","(Lam.) Dewit","Fabaceae","Fabales"
"Millettia peguensis","Millettia","Millettia peguensis","Ali","Fabaceae","Fabales"
"Lantana camara","Lantana","Lantana camara","L.","Verbenaceae","Lamiales"
"Cordia dichotoma","Cordia","Cordia dichotoma","G.Forst.","Cordiaceae","Boraginales"
"Cannabis sativa","Cannabis","Cannabis sativa","L.","Cannabaceae","Rosales"
"Malvastrum coromandelianum","Malvastrum","Malvastrum coromandelianum","(L.) Garcke","Malvaceae","Malvales"
"Sapindus mukorossi","Sapindus","Sapindus mukorossi","Gaertn.","Sapindaceae","Sapindales"
"Albizia lebbeck","Albizia","Albizia lebbeck","(L.) Benth.","Fabaceae","Fabales"
"Acacia nilotica","Vachellia","Vachellia nilotica","(L.) P.J.H.Hurter & Mabb.","Fabaceae","Fabales"
"Cassia occidentalis","Senna","Senna occidentalis","(L.) Link","Fabaceae","Fabales"
"Broussonetia papyrifera","Broussonetia","Broussonetia papyrifera","(L.) L'Hér. ex Vent.","Moraceae","Rosales"
