Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Abutilon crispum (L.) Brizicky,Malvaceae,Herissantia crispa (L.) Brizicky,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acacia auriculiformis Benth.,Leguminosae,Acacia auriculiformis Benth.,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
Acacia dealbata Link,Leguminosae,Acacia dealbata Link,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Acacia farnesiana (L.) Willd.,Leguminosae,Acacia farnesiana (L.) Willd.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Acacia mearnsii De Wild.,Leguminosae,Acacia mearnsii De Wild.,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acacia melanoxylon R. Br.,Leguminosae,Acacia melanoxylon R.Br.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acacia retinodes Schltdl.,Leguminosae,Acacia retinodes Schltdl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acanthospermum hispidum DC.,Compositae,Acanthospermum hispidum DC.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Acmella ciliata (Kunth) Cass.,Compositae,Acmella ciliata (Kunth) Cass.,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
Acmella radicans  (Jacq.) R.K.Jansen,Compositae,Acmella radicans (Jacq.) R.K.Jansen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Acmella uliginosa (Sw.) Cass.,Compositae,Acmella uliginosa (Sw.) Cass.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeluropus lagopoides (L.) Thwaites,Poaceae,Aeluropus lagopoides (L.) Thwaites,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Aeschynomene americana L.,Leguminosae,Aeschynomene americana L.,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Agave americana L.,Asparagaceae,Agave americana L.,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
