AcceptedName,Family,InvasionStatus ,NativeRegion
Abelmoschus esculentus Moench.,Malvaceae,Cultivated,Tropical Africa
Abutilon crispum Medic.,Malvaceae,Naturalised/Invasive,Tropical America
Abutilon megapoticum St. Hil. & Naud.,Malvaceae,Cultivated,Tropical America
Acacia auriculiformis A. Cunn. ex Benth ,Mimosaceae,Naturalised/Invasive,Australia
Acacia baileyana F. Muell.,Mimosaceae,Cultivated,Australia
Acacia benthami Rochbr.,Mimosaceae,Cultivated,South Africa
Acacia confusa Merr.,Mimosaceae,Cultivated,Philippines
Acacia dealbata Link,Mimosaceae,Naturalised,Australia
Acacia decurrens Willd.,Mimosaceae,Cultivated,Australia
Acacia elata A. Cunn. ex Benth.,Mimosaceae,Cultivated,Australia
Acacia farnesiana Willd.,Mimosaceae,Invasive,Tropical America
Acacia karoo Heyne,Mimosaceae,Cultivated,South Africa
Acacia longifolia Willd.,Mimosaceae,Naturalised,Australia
Acacia maidenii F. Muell.,Mimosaceae,Cultivated,Australia
Acacia mangium Willd.,Mimosaceae,Cultivated,Australia
Acacia mearsnii De Willd.,Mimosaceae,Invasive,Australia
Acacia melanoxylon R. Br.,Mimosaceae,Naturalised,Australia
Acacia nilotica Willd.,Mimosaceae,Naturalised,North Africa & Arabia
Acacia podalyriifolia A. Cunn.,Mimosaceae,Cultivated,Australia
Acacia robusta Burch.,Mimosaceae,Cultivated,South Africa
Acacia senegal L.,Mimosaceae,Casual/Naturalised,West Africa
Acacia tortilis (Forssk.) Hayne,Mimosaceae,Cultivated,Africa & West Asia
Acalypha amentacea Roxb.,Euphorbiaceae,Cultivated,Polynesian Islands
Acalypha australis L.,Euphorbiaceae,Cultivated,China & Japan
Acalypha chamaedrifolia (Lam.) Muell.-Arg. ,Euphorbiaceae,Cultivated,West Indies
Acalypha ciliata Forssk.,Euphorbiaceae,Invasive,Tropical Africa
Acalypha hispida Burm. f.,Euphorbiaceae,Cultivated,Papa New Guinea
Acalypha wilkesiana Müll. Arg. ,Euphorbiaceae,Cultivated,South Pacific Islands
Acanthospermum hispidum D. C.,Asteraceae,Invasive,Tropical America
Acca sellowiana (O. Berg) Burret ,Myrtaceae,Cultivated,South America
Achimenes grandiflora DC.,Geraniaceae,Cultivated,Tropical Central America
Achyranthes aspera L.,Amaranthaceae,Invasive,Tropical America
Acmella ciliata (Kunth) Cass. ,Asteraceae,Naturalised/Invasive,Tropical America
Acmella radicans (Jacq.) R. K. Jansen  ,Asteraceae,Invasive,South America
