Search,Habit
Phyllanthus emblica,Tree
Prosopis juliflora,Tree
Murraya koenigii,Tree
Oplismenus burmannii,Herb
Ichnocarpus frutescens,Climber
Peperomia pellucida,Herb
Sida cordata,Herb
Panicum antidotale,Herb
Aerva lanata,Herb
Sida rhombifolia,Herb
Oxalis corniculata,Herb
Cissampelos pareira,Climber
Ageratum houstonianum,Herb
Sida acuta,Herb
Rivina humilis,Herb
Dendrocalamus strictus,Shrub
Justicia adhatoda,Herb
Bougainvillea spectabilis,Shrub
Parthenium hysterophorus,Herb
Cassia tora,Shrub
Ageratum conyzoides,Herb
Dicliptera paniculata,Herb
Commelina benghalensis,Herb
Calyptocarpus vialis,Herb
Phoenix dactylifera,Tree
Ziziphus mauritiana,Tree
Butea monosperma,Tree
Leucaena leucocephala,Tree
Millettia peguensis,Tree
Lantana camara,Shrub
Cordia dichotoma,Tree
Cannabis sativa,Herb
Malvastrum coromandelianum,Herb
Sapindus mukorossi,Tree
Albizia lebbeck,Tree
Acacia nilotica,Tree
Cassia occidentalis,Shrub
Broussonetia papyrifera,Tree
